tconst	averageRating	numVotes
tt0001091	5.4	193
tt0001092	5.9	42
tt0001094	4.3	17
tt0001095	3.3	17
tt0001098	6.3	20
tt0001099	5.1	17
tt0001101	5.2	37
tt0001103	5.5	66
tt0001104	5.0	58
tt0001105	6.5	877
tt0001106	6.0	124
tt0001107	6.1	94
tt0001111	4.4	14
tt0001112	3.8	39
tt0001113	5.1	16
tt0001115	4.6	19
tt0001116	4.7	18
tt0001117	5.3	13
tt0001118	5.5	194
tt0001120	5.6	230
tt0001121	4.6	57
tt0001122	5.3	18
tt0001129	5.0	66
tt0001135	4.8	59
tt0001139	5.5	33
tt0001143	4.7	51
tt0001144	4.8	52
tt0001145	5.0	10
tt0001150	5.3	117
tt0001151	4.3	60
tt0001152	5.6	73
tt0001153	4.5	56
tt0001156	4.3	55
tt0001159	5.6	28
tt0001161	4.5	57
tt0001165	4.4	40
tt0001175	5.8	35
tt0001176	4.2	39
tt0001184	3.9	20
tt0001185	7.0	19
tt0001186	5.4	70
tt0001187	4.4	40
tt0001190	6.6	13
tt0001195	3.9	12
tt0001200	4.5	45
tt0001202	4.6	39
tt0001206	6.0	43
tt0001207	5.7	136
tt0001211	5.5	36
tt0001216	4.6	39
tt0001217	5.8	100
tt0001218	5.4	104
tt0001223	6.4	4054
tt0001227	5.8	250
tt0001230	5.0	29
tt0001233	8.6	20
tt0001234	5.4	43
tt0001235	5.3	52
tt0001236	5.0	42
tt0001237	4.6	70
tt0001240	3.9	21
tt0001241	5.1	16
tt0001242	6.0	18
tt0001245	5.6	70
tt0001253	4.8	23
tt0001254	3.8	23
tt0001256	5.8	530
tt0001258	5.7	138
tt0001262	5.2	28
tt0001264	7.1	69
tt0001265	6.4	513
tt0001277	4.4	23
tt0001280	4.8	29
tt0001282	6.9	33
tt0001283	5.8	22
tt0001284	4.8	43
tt0001285	5.6	57
tt0001292	5.0	59
tt0001294	6.2	16
tt0001299	3.9	16
tt0001303	6.0	17
tt0001306	4.2	11
tt0001307	5.5	16
tt0001310	5.4	27
tt0001313	4.8	9
tt0001314	5.8	155
tt0001315	5.8	23
tt0001321	5.3	55
tt0001326	5.5	55
tt0001330	5.8	34
tt0001332	5.2	31
tt0001333	5.7	52
tt0001334	6.7	15
tt0001337	5.8	54
tt0001338	5.3	16
